seed,step,eval_reward,K,critic_loss,actor_loss
43,2000,-1657.051840067717,1,-32.13103485107422,319.802490234375
43,4000,-1457.5550574320885,1,13.528205871582031,859.4428100585938
43,6000,-1264.7570172536732,1,710.7153930664062,1553.9515380859375
43,8000,-1331.1490081355428,1,3925.2275390625,2723.357421875
43,10000,-1328.045697750577,1,3997.4111328125,5444.87646484375
43,12000,-1393.7583741929675,1,4921.318359375,10274.8349609375
43,14000,-1282.4275273629962,1,27387.357421875,11221.0556640625
43,16000,-1185.9589389638822,1,1738.7149658203125,17258.189453125
43,18000,-1497.7556878356133,1,41554.0546875,26930.07421875
43,20000,-1481.0004077920344,1,624.947998046875,38141.73046875
43,22000,-1331.8321113747083,1,45624.578125,50145.8828125
43,24000,-1496.2279248478267,1,10817.85546875,64000.0078125
43,26000,-1291.8278253971998,1,72352.0859375,72436.671875
43,28000,-1369.8522218019266,1,97069.65625,102529.3984375
43,30000,-1454.290545584893,1,267483.6875,120943.0625
43,32000,-1319.1916058617658,1,13655.8583984375,149315.1875
43,34000,-1619.4832228556904,1,789164.8125,178786.453125
43,36000,-1254.3172791665443,1,201797.234375,178484.0625
43,38000,-1480.3724877484703,1,2848274.0,176215.53125
43,40000,-1757.0314504081912,1,95321.9609375,185945.84375
43,42000,-1643.5333456918663,1,67630.234375,248628.453125
43,44000,-1570.0812491891234,1,1434862.0,288378.3125
43,46000,-1537.3013977449646,1,2853491.75,314233.15625
43,48000,-1352.1751766081666,1,134214.34375,295946.25
43,50000,-1564.7163735690185,1,1994315.75,372251.0
