seed,step,eval_reward,K,critic_loss,actor_loss
43,1000,415.0,1,-0.10729826986789703,-0.6158838868141174
43,2000,458.4,1,-0.11335901916027069,-1.1200048923492432
43,3000,451.0,1,-0.10483984649181366,-1.6129801273345947
43,4000,454.8,1,-0.09667357802391052,-2.060014009475708
43,5000,446.8,1,-0.09301683306694031,-2.472977876663208
43,6000,407.8,1,-0.11397233605384827,-2.8991541862487793
43,7000,500.0,1,-0.11265228688716888,-3.2692885398864746
43,8000,413.0,1,-0.11400176584720612,-3.6944544315338135
43,9000,464.6,1,-0.10824805498123169,-4.05694580078125
43,10000,500.0,1,-0.11518216133117676,-4.367533206939697
43,11000,466.0,1,-0.10897151380777359,-4.621569633483887
43,12000,500.0,1,-0.11265300959348679,-4.932219505310059
43,13000,462.2,1,-0.01627720147371292,-5.189693450927734
43,14000,400.2,1,-0.11289486289024353,-5.549671649932861
43,15000,500.0,1,-0.11072438210248947,-5.795614242553711
43,16000,423.8,1,-0.10839187353849411,-5.984094619750977
43,17000,455.4,1,-0.11059518158435822,-6.015422344207764
43,18000,396.2,1,-0.11841006577014923,-6.45994758605957
43,19000,500.0,1,-0.11125852167606354,-6.574690818786621
43,20000,444.0,1,-0.11325903236865997,-6.8205437660217285
