seed,step,eval_reward,K,critic_loss,actor_loss
44,1000,-1448.0066588405396,1,-5.116228264913797e+17,3.025504843113431e+17
44,2000,-1539.3087701909851,1,-3.0019914433560576e+17,2.0729517061229773e+17
44,3000,-1570.0863417343332,1,-1.6466320497311744e+17,1.2186772133904384e+17
44,4000,-1591.774341186453,1,-2.3001930999948902e+17,1.784040423036027e+17
44,5000,-1335.870167731106,1,-1.7225639791480013e+17,1.1564999167390515e+17
44,6000,-1608.1825736613719,1,-1.8388713499262976e+17,1.3323411176973926e+17
44,7000,-1625.094096499232,1,-2.227054273709998e+17,1.8952910711187046e+17
44,8000,-1538.0067564984613,1,-2.2921893425394483e+17,2.0811384291852288e+17
44,9000,-1626.514174368996,1,-2.0275667867061453e+17,1.8386559143667302e+17
44,10000,-1524.4140568289372,1,-1.7549693355976294e+17,1.4391638262965862e+17
44,11000,-1572.2770668865905,1,-1.838329840449618e+17,1.67821552123904e+17
44,12000,-1572.1623073098115,1,-2.210483430888571e+17,2.1609134953385165e+17
44,13000,-1396.4692590916356,1,-2.2103355122148966e+17,1.9944190881090765e+17
44,14000,-1557.4423118663951,1,-2.5339604389750374e+17,2.057812118203269e+17
44,15000,-1573.2557832146933,1,-2.269442508545065e+17,2.148540209954816e+17
44,16000,-1442.7671253701121,1,-2.3860847149737574e+17,2.1904919043139174e+17
44,17000,-1522.723675316116,1,-2.0662513853425254e+17,1.8842212224099942e+17
44,18000,-1615.9694136020123,1,-2.019599794170757e+17,1.839781539395666e+17
44,19000,-1483.9709062059578,1,-2.1882174614326477e+17,1.851871700535214e+17
44,20000,-1582.8059336065776,1,-1.9514414119623066e+17,1.854916832348078e+17
44,21000,-1683.8107116360225,1,-2.216475941058642e+17,2.516819739892777e+17
44,22000,-1594.3315703478243,1,-2.3346748154340966e+17,2.2325779452500378e+17
44,23000,-1629.3244666828873,1,-2.734250397668475e+17,2.866932417162117e+17
44,24000,-1552.3054479475327,1,-2.607282574464123e+17,2.8763787682329395e+17
44,25000,-1576.861460354862,1,-2.6780811589687706e+17,2.3550278064563814e+17
44,26000,-1457.791085148702,1,-2.1932492733179494e+17,2.312203031145349e+17
44,27000,-1499.248567527506,1,-2.1473888151221043e+17,2.3397634926863974e+17
44,28000,-1381.8378645360915,1,-2.6560503819219763e+17,2.537493479072727e+17
44,29000,-1491.1866164272374,1,-2.04309446787072e+17,2.0279498977889485e+17
44,30000,-1489.343799036859,1,-2.255820933866455e+17,2.1849333576394342e+17
44,31000,-1568.2150711735176,1,-2.1727533457840538e+17,2.1568690105352192e+17
44,32000,-1391.9425413770239,1,-2.3987076238567014e+17,2.220038358732636e+17
44,33000,-1245.560547636702,1,-2.3990287156117504e+17,2.3663180728867226e+17
44,34000,-1137.359308421014,1,-2.6144170305388544e+17,2.345098357464105e+17
44,35000,-916.2487970001257,1,-2.1662239647019827e+17,2.086376055903355e+17
44,36000,-1225.5782071332458,1,-2.3332973335229235e+17,1.9903129275754086e+17
44,37000,-1326.9393300800923,1,-2.066427994397737e+17,1.9765822607274803e+17
44,38000,-895.6440931329638,1,-1.9778532274497126e+17,1.743125190184796e+17
44,39000,-1129.651164152026,1,-2.4161792072194458e+17,2.2704160917317222e+17
44,40000,-1170.417924306829,1,-2.3398978392634163e+17,2.227381893815337e+17
44,41000,-978.9279163610536,1,-2.0541816682473062e+17,1.813088317651026e+17
44,42000,-905.3763306736848,1,-2.393820294671237e+17,2.2337228117324595e+17
44,43000,-795.6556555758884,1,-2.3037682307720806e+17,2.3003085487158067e+17
44,44000,-819.6836833995169,1,-2.3733030640995533e+17,2.229718356024361e+17
44,45000,-1531.6325569214355,1,-2.326024407702569e+17,2.270623452752773e+17
44,46000,-1481.7087361492845,1,-2.0927863804919808e+17,2.012396103223214e+17
44,47000,-1289.4652586454772,1,-2.0775902708026573e+17,1.8199039153537024e+17
44,48000,-1132.4106462683,1,-1.9464130360508416e+17,1.8645317179355955e+17
44,49000,-1354.0728162820742,1,-2.339951784052654e+17,2.1516549202378752e+17
44,50000,-1191.9382576842531,1,-2.159110296268964e+17,1.901453833792389e+17
