step,eval_reward,critic_loss,actor_loss
2000,-1374.1495441326783,-0.12967026233673096,-10.888896942138672
4000,-1384.250917463405,0.7259528636932373,-19.863622665405273
6000,-1427.8586971317811,31.84364891052246,-26.15036392211914
8000,-1400.6702726574872,7.343096733093262,-27.9589786529541
10000,-1339.823949975907,365.1556091308594,-29.096969604492188
12000,-931.2078731281388,5.702594757080078,-18.47687530517578
14000,-1000.3191460799659,2007.3551025390625,-24.77043914794922
16000,-951.7369566623041,-10.543444633483887,-4.737825393676758
18000,-844.7611482290191,-5.478410720825195,-21.93027114868164
20000,-1012.0465176142989,18.033519744873047,-45.04259490966797
22000,-513.3277541745638,10.482610702514648,-55.90741729736328
24000,-560.0881405007646,1.0114279985427856,-48.048744201660156
26000,-657.2492632978082,31.52962875366211,-74.38105773925781
28000,-639.0730396831061,52.62773132324219,-89.01655578613281
30000,-684.7437741850804,130.7587127685547,-102.69489288330078
32000,-671.7634792289136,3.3165831565856934,-102.09925842285156
34000,-635.8863487870938,2.3980109691619873,-108.14407348632812
36000,-414.46139817717483,1.5275156497955322,-108.59869384765625
38000,-482.5569313263245,2.034271240234375,-104.07940673828125
40000,-171.7989995785329,3.149142265319824,-95.9983901977539
42000,-150.1787074907549,36.68842315673828,-90.92833709716797
44000,-170.28803222951439,61.93878936767578,-83.00802612304688
46000,-169.63799531937144,114.23280334472656,-83.30789947509766
48000,-218.7049321932957,53.79177474975586,-79.27130889892578
50000,-234.4808355975769,50.535892486572266,-76.61770629882812
