seed,step,eval_reward,K,critic_loss,actor_loss
43,1000,500.0,5,-0.11302396655082703,-0.5741392374038696
43,2000,500.0,5,-0.11152540147304535,-1.0897055864334106
43,3000,500.0,5,-0.11766482889652252,-1.5774219036102295
43,4000,500.0,5,-0.11523168534040451,-2.020822048187256
43,5000,500.0,5,-0.10750672966241837,-2.4491777420043945
43,6000,500.0,5,-0.11101200431585312,-2.856360912322998
43,7000,500.0,5,-0.11428060382604599,-3.244563102722168
43,8000,500.0,5,-0.10499390214681625,-3.5798988342285156
43,9000,500.0,5,-0.1142047569155693,-3.978623390197754
43,10000,500.0,5,-0.042341042309999466,-4.291925430297852
43,11000,500.0,5,-0.03840400278568268,-4.587326526641846
43,12000,500.0,5,-0.1168237030506134,-4.8933796882629395
43,13000,500.0,5,-0.11249010264873505,-5.180142402648926
43,14000,500.0,5,-0.004969894420355558,-5.433315277099609
43,15000,500.0,5,-0.11459900438785553,-5.710261344909668
43,16000,500.0,5,-0.11464940011501312,-5.94304084777832
43,17000,500.0,5,-0.10771699249744415,-6.157009124755859
43,18000,500.0,5,-0.10878407955169678,-6.367315769195557
43,19000,500.0,5,-0.11422448605298996,-6.56721305847168
43,20000,500.0,5,-0.11773406714200974,-6.754651069641113
