seed,step,eval_reward,K,critic_loss,actor_loss
44,1000,-1588.8875086978453,10,11280.73046875,1844.723876953125
44,2000,-1454.5383050029209,10,-4972.08544921875,12269.0927734375
44,3000,-1451.3739173486451,10,2075.683837890625,15004.025390625
44,4000,-1478.6858025049946,10,1465.8050537109375,18868.94140625
44,5000,-1505.2232183377548,10,-3859.359375,15184.82421875
44,6000,-1439.2068756446756,10,-9789.0869140625,19480.369140625
44,7000,-1520.750401339376,10,4302.21044921875,12490.009765625
44,8000,-1479.7396062106968,10,1700.876708984375,12971.447265625
44,9000,-1303.8950985383788,10,2578.915771484375,9111.0224609375
44,10000,-1303.5684920055241,10,579.1866455078125,13643.1396484375
44,11000,-1418.613833156059,10,-10993.4853515625,17725.66015625
44,12000,-1300.559354969923,10,1474.276611328125,13716.66015625
44,13000,-1501.360176099442,10,-2347.986328125,13634.6484375
44,14000,-1516.9710424481573,10,-1633.3804931640625,11421.0078125
44,15000,-1267.1497185467485,10,-94.2149658203125,9853.2900390625
44,16000,-1562.5306527595926,10,-7973.2314453125,12486.6875
44,17000,-1399.708372180433,10,-3368.459228515625,13397.5986328125
44,18000,-1484.519094144471,10,-12474.060546875,21277.216796875
44,19000,-1457.246420142327,10,-6173.54833984375,5881.78076171875
44,20000,-1512.401886211865,10,-14785.7607421875,15333.5322265625
44,21000,-1448.224000061104,10,-5744.93994140625,9837.849609375
44,22000,-1472.7690028717996,10,-6914.42138671875,8454.76171875
44,23000,-1623.1989787197508,10,-14615.1494140625,17659.4921875
44,24000,-1506.5685159852305,10,-2999.275390625,10663.115234375
44,25000,-1582.0514079913314,10,-4709.76708984375,11675.5390625
44,26000,-1577.2216806948152,10,446.96514892578125,9244.0068359375
44,27000,-1425.81864884363,10,-2456.376220703125,7484.7919921875
44,28000,-1587.3100055778682,10,-1922.0391845703125,7489.111328125
44,29000,-1617.8919944208037,10,-6317.31787109375,10515.4775390625
44,30000,-1456.8957774660219,10,-1052.944580078125,6001.65576171875
44,31000,-1596.9157480972701,10,-8209.275390625,8676.150390625
44,32000,-1454.0285206638914,10,-14731.1220703125,20396.744140625
44,33000,-1531.5364413494697,10,-4527.93310546875,7620.50244140625
44,34000,-1612.4039507900245,10,-2764.983154296875,9696.27734375
44,35000,-1589.9613261503694,10,-8023.9580078125,9371.8837890625
44,36000,-1453.6122511510246,10,-2036.68115234375,6624.6044921875
44,37000,-1488.2893696827207,10,-2585.536865234375,4698.25390625
44,38000,-1526.0736333945729,10,-12774.404296875,13069.8564453125
44,39000,-1562.4291905619245,10,-9034.8515625,8610.689453125
44,40000,-1508.938924971184,10,-6353.1640625,11174.875
44,41000,-1516.96470788748,10,-8154.0615234375,8758.4541015625
44,42000,-1362.923140620267,10,-4994.560546875,9354.513671875
44,43000,-1319.0120768567615,10,-9061.53125,9555.2958984375
44,44000,-1580.2401747827657,10,-8009.5439453125,9454.97265625
44,45000,-1447.9520033112938,10,-13926.4873046875,13656.35546875
44,46000,-1487.7856197451852,10,-2889.653076171875,8786.2861328125
44,47000,-1467.0310670284664,10,-10520.533203125,10439.802734375
44,48000,-1367.8531565577152,10,-5410.05615234375,9246.0576171875
44,49000,-1505.8383450836905,10,-7124.42578125,6355.57568359375
44,50000,-1634.3283341631131,10,-6424.53759765625,5814.7451171875
