seed,step,eval_reward,K,critic_loss,actor_loss
44,2000,-626.0853211684716,5,31.234424591064453,106.4037857055664
44,4000,-585.1577174448087,5,35.66453552246094,171.0271759033203
44,6000,-836.0585930094061,5,90.90620422363281,199.10409545898438
44,8000,-791.059902674054,5,754.0324096679688,276.565673828125
44,10000,-833.8738804879392,5,1352.1800537109375,358.58050537109375
44,12000,-828.9470180856388,5,19.028945922851562,428.27276611328125
44,14000,-846.5878410041878,5,1873.8302001953125,481.38934326171875
44,16000,-632.4689223235225,5,37.48715591430664,582.3677368164062
44,18000,-707.8225266134675,5,85.99470520019531,645.5859375
44,20000,-812.268794113343,5,5866.623046875,727.6665649414062
44,22000,-921.687952905029,5,2482.225830078125,873.0394897460938
44,24000,-976.2410106466084,5,5874.42431640625,950.1943359375
44,26000,-709.4310997962709,5,15029.5537109375,1021.9238891601562
44,28000,-653.5900427318604,5,290.210693359375,1108.631591796875
44,30000,-794.6637479822358,5,10143.6142578125,1245.276611328125
44,32000,-632.9471596083349,5,245.89913940429688,1306.2646484375
44,34000,-754.9221313496039,5,32782.546875,1491.9351806640625
44,36000,-568.1294624072568,5,14936.7958984375,1519.7606201171875
44,38000,-888.9746792053484,5,33398.203125,1626.5322265625
44,40000,-683.6128261431778,5,9582.0390625,1654.427490234375
44,42000,-984.8383627909955,5,10670.6337890625,1812.074951171875
44,44000,-976.7484038930754,5,23387.73828125,1974.943603515625
44,46000,-722.5813986454042,5,13027.599609375,2147.60986328125
44,48000,-952.0466281822759,5,41854.01171875,2271.89404296875
44,50000,-1190.2882282117312,5,458.06719970703125,2324.5732421875
