seed,step,eval_reward,K,critic_loss,actor_loss
43,1000,-1220.6634413981683,5,15527.2470703125,1579.441162109375
43,2000,-1575.1695910953522,5,1226.176025390625,1001.5371704101562
43,3000,-1609.589154654272,5,4602.96142578125,706.8076171875
43,4000,-1578.0402552193875,5,3927.87060546875,502.37030029296875
43,5000,-1533.6304042379427,5,2722.92578125,727.4073486328125
43,6000,-1581.6935091505136,5,5690.24267578125,356.3959045410156
43,7000,-1496.6927882153082,5,2764.384033203125,227.27577209472656
43,8000,-1210.031296121373,5,1575.8612060546875,172.13027954101562
43,9000,-1000.795906063812,5,1187.7237548828125,247.2420196533203
43,10000,-1503.9413322799617,5,2806.10205078125,220.8812255859375
43,11000,-1470.9660534096954,5,870.6882934570312,215.3134765625
43,12000,-1616.946327058491,5,2424.928466796875,231.598388671875
43,13000,-1581.234141908163,5,1063.07666015625,244.60186767578125
43,14000,-1566.9829030983992,5,-1718.0494384765625,758.0413818359375
43,15000,-1578.2626418425457,5,1707.3975830078125,302.3111877441406
43,16000,-1497.1074015293743,5,5373.16845703125,272.2784423828125
43,17000,-1621.9782802637505,5,1431.245361328125,259.1033630371094
43,18000,-922.7397851092264,5,1147.173095703125,326.1219482421875
43,19000,-689.9817774102933,5,1417.56494140625,225.1075439453125
43,20000,-725.9792368736282,5,3894.67529296875,285.8664245605469
43,21000,-711.7143332056233,5,2842.557861328125,338.28564453125
43,22000,-1134.166288374595,5,1207.5997314453125,265.35052490234375
43,23000,-1570.5634135173254,5,2136.22509765625,697.9361572265625
43,24000,-1154.4390424938224,5,3112.9365234375,213.9571075439453
43,25000,-1546.0198268437393,5,3582.697265625,1094.146240234375
43,26000,-1583.5629636197923,5,3101.18359375,699.6004638671875
43,27000,-1251.2528410727225,5,818.458740234375,230.17922973632812
43,28000,-1423.4125578337912,5,836.4349365234375,223.4815216064453
43,29000,-1157.1559507260595,5,948.6517333984375,219.50076293945312
43,30000,-1601.0549237706978,5,341.8144226074219,198.2673797607422
43,31000,-1548.069727296101,5,603.3195190429688,484.6748352050781
43,32000,-1359.5856675888654,5,-733.8235473632812,1725.2027587890625
43,33000,-1620.1226803076902,5,1158.54638671875,305.01263427734375
43,34000,-1578.2434138978056,5,2267.52392578125,210.57278442382812
43,35000,-1492.791238898965,5,1475.7349853515625,207.88067626953125
43,36000,-1614.3800147747975,5,2628.58740234375,171.12205505371094
43,37000,-1454.9686225721248,5,2297.37646484375,102.98497009277344
43,38000,-1568.1651660344853,5,3382.716552734375,148.0030975341797
43,39000,-1559.0985590813734,5,3786.777099609375,55.526710510253906
43,40000,-1551.8212596751193,5,2898.135498046875,95.4317855834961
43,41000,-1464.2017091374512,5,1647.491455078125,83.65687561035156
43,42000,-1619.0180447845385,5,3075.57080078125,108.98603820800781
43,43000,-1535.2039178953303,5,13172.248046875,66.43427276611328
43,44000,-1566.399610597478,5,675.6913452148438,56.99962615966797
43,45000,-1589.8656271213058,5,1064.2261962890625,79.55186462402344
43,46000,-1523.2841874090109,5,791.8630981445312,82.10513305664062
43,47000,-1596.9127529382345,5,1411.8233642578125,50.02776336669922
43,48000,-1536.9314146935837,5,382.4339294433594,77.67847442626953
43,49000,-1608.3863309659562,5,618.8698120117188,40.75010681152344
43,50000,-1557.7422524937388,5,1472.3072509765625,18.98932456970215
