seed,step,eval_reward,K,critic_loss,actor_loss
43,1000,-1426.2844488197225,10,11264.7119140625,613.3402709960938
43,2000,-1529.9698824707493,10,6018.57763671875,1006.9072265625
43,3000,-1426.9527044962476,10,5329.11962890625,785.7732543945312
43,4000,-1518.7790200865886,10,6704.853515625,729.2655029296875
43,5000,-1561.7014600251234,10,4667.47900390625,747.0521240234375
43,6000,-1599.6553827394964,10,3501.803466796875,1588.834228515625
43,7000,-1575.4914699858678,10,3400.447998046875,1504.6240234375
43,8000,-1523.6511276022604,10,1017.6090087890625,1083.330322265625
43,9000,-1579.7025883330255,10,1033.2613525390625,1122.831787109375
43,10000,-1557.0243005940654,10,6019.85595703125,954.4371337890625
43,11000,-1628.8068132806359,10,2080.890380859375,598.9844970703125
43,12000,-1591.3273656068554,10,3864.978271484375,848.03857421875
43,13000,-1208.676247173504,10,141.4066162109375,585.966796875
43,14000,-1046.7278056055106,10,56.92494201660156,602.3934936523438
43,15000,-1401.8159568905623,10,-271.9419860839844,573.4882202148438
43,16000,-1209.0801037781694,10,3381.5048828125,581.2153930664062
43,17000,-1405.2918578122226,10,1954.572998046875,536.5789794921875
43,18000,-1205.341303655301,10,5247.62451171875,508.4150390625
43,19000,-1193.8345280456474,10,-613.3831787109375,530.926513671875
43,20000,-1233.6086645056698,10,2218.1943359375,470.3746337890625
43,21000,-1431.270406080098,10,4007.851318359375,511.0142822265625
43,22000,-1249.49282744514,10,229.97499084472656,427.51727294921875
43,23000,-1010.7512339263069,10,2263.395751953125,458.41070556640625
43,24000,-1075.3277339036083,10,2078.668212890625,398.76495361328125
43,25000,-922.8352186796222,10,7688.47802734375,405.03057861328125
43,26000,-1375.5423001217546,10,797.53515625,383.5824890136719
43,27000,-972.6673539726683,10,1086.8529052734375,341.0706787109375
43,28000,-992.8848382728244,10,3008.13037109375,376.2078857421875
43,29000,-1193.2192311218428,10,3023.65625,364.21502685546875
43,30000,-844.9677634615473,10,4717.2265625,345.8641052246094
43,31000,-1582.1782671992164,10,4326.18603515625,466.1375427246094
43,32000,-729.7101342316854,10,1358.3798828125,305.996826171875
43,33000,-1173.4515911186409,10,8475.8974609375,349.48699951171875
43,34000,-1409.8465208493437,10,3154.795654296875,413.4402770996094
43,35000,-1220.0978347603104,10,1483.114990234375,301.1532287597656
43,36000,-984.5735108693898,10,5683.1494140625,332.47943115234375
43,37000,-1369.0036644735496,10,2671.98876953125,288.1000061035156
43,38000,-1235.0674234052115,10,7178.8291015625,295.7382507324219
43,39000,-1257.1154624967817,10,3085.373779296875,271.8372802734375
43,40000,-1440.800885114037,10,5416.56689453125,305.7337646484375
43,41000,-1033.2180171793875,10,3172.2529296875,316.8302001953125
43,42000,-1191.6391592233513,10,674.4279174804688,372.90081787109375
43,43000,-814.5979557903559,10,812.5673217773438,384.1775207519531
43,44000,-955.3321762924019,10,2549.414794921875,437.4134826660156
43,45000,-841.1864840187149,10,2998.715576171875,414.71624755859375
43,46000,-826.7077682713474,10,862.1602783203125,441.1810302734375
43,47000,-980.5290330409283,10,7364.32568359375,453.9909362792969
43,48000,-834.7984899839714,10,6695.42578125,427.17041015625
43,49000,-672.6021712061156,10,9232.228515625,451.80511474609375
43,50000,-1208.9576447281147,10,4137.615234375,490.11053466796875
