seed,step,eval_reward,K,critic_loss,actor_loss
44,1000,500.0,5,-0.10807212442159653,-0.5437794327735901
44,2000,500.0,5,-0.1078844889998436,-1.041153073310852
44,3000,500.0,5,-0.10983286052942276,-1.5019739866256714
44,4000,500.0,5,-0.09687189757823944,-1.9507200717926025
44,5000,500.0,5,-0.10561434924602509,-2.37747859954834
44,6000,500.0,5,-0.1114368736743927,-2.803297519683838
44,7000,500.0,5,-0.11469968408346176,-3.165194511413574
44,8000,500.0,5,-0.10381791740655899,-3.545931339263916
44,9000,500.0,5,-0.05279679223895073,-3.894007921218872
44,10000,500.0,5,-0.10841084271669388,-4.2222113609313965
44,11000,500.0,5,-0.11432377249002457,-4.539645195007324
44,12000,500.0,5,-0.11037535220384598,-4.818422794342041
44,13000,500.0,5,-0.11648918688297272,-5.124345302581787
44,14000,500.0,5,-0.10200981050729752,-5.371636390686035
44,15000,500.0,5,-0.10876224935054779,-5.638324737548828
44,16000,500.0,5,0.012650220654904842,-5.849506378173828
44,17000,500.0,5,-0.11176174879074097,-6.118921279907227
44,18000,500.0,5,-0.10529939830303192,-6.322172164916992
44,19000,500.0,5,-0.11477378755807877,-6.538669109344482
44,20000,500.0,5,-0.1090373694896698,-6.705522537231445
