seed,step,eval_reward,K,critic_loss,actor_loss
43,2000,-1444.3699679445829,3,-101.51261901855469,854.68408203125
43,4000,-1576.1142860892637,3,257.4459228515625,2133.62109375
43,6000,-1471.2256273522355,3,763.5687255859375,3455.3974609375
43,8000,-1588.0041292706399,3,121.10391235351562,4866.828125
43,10000,-1564.2557056192834,3,477.4713134765625,7468.443359375
43,12000,-1422.057990590307,3,4412.26416015625,9657.916015625
43,14000,-1588.2677941263023,3,7970.732421875,12125.16796875
43,16000,-1612.1664118832682,3,6819.34228515625,14594.9775390625
43,18000,-1627.7288366494784,3,3626.34375,15404.3310546875
43,20000,-1482.3845450990987,3,2850.00048828125,18428.77734375
43,22000,-1333.0825751112927,3,602.5003051757812,25044.73828125
43,24000,-1592.1563838728534,3,2646.965576171875,35547.62890625
43,26000,-1557.3976587985771,3,5066.0029296875,44585.75390625
43,28000,-1501.9645223234252,3,30175.16796875,46714.37109375
43,30000,-1587.132716119248,3,6703.078125,56421.71875
43,32000,-1603.7832592205145,3,24800.0546875,67280.640625
43,34000,-1600.6342018788387,3,20012.369140625,73551.3203125
43,36000,-1564.2906001691294,3,61939.82421875,81370.40625
43,38000,-1505.5589925784639,3,48932.8125,95638.671875
43,40000,-1439.2699763397943,3,77481.078125,110309.609375
43,42000,-1537.5679166992945,3,37741.26171875,129063.7734375
43,44000,-1600.5554263520003,3,70259.5703125,132775.15625
43,46000,-1528.5972806227649,3,76093.7734375,150867.40625
43,48000,-1462.9481689555632,3,39393.6484375,156797.46875
43,50000,-1637.1885714391524,3,269987.90625,165491.46875
