seed,step,eval_reward,K,critic_loss,actor_loss
43,1000,-1596.4804838265622,1,-6.897135423408046e+17,4.888651004599337e+17
43,2000,-1549.7613229095675,1,-3.813386356994867e+17,3.1880453034501734e+17
43,3000,-1523.6751099351138,1,-3.263404112431022e+17,2.6139157219560653e+17
43,4000,-1538.1516824039331,1,-4.1211850164640154e+17,3.2790006848710246e+17
43,5000,-1557.5645706643927,1,-2.8165832027458765e+17,2.2836143544336384e+17
43,6000,-1275.5145950465653,1,-2.8308381992013005e+17,2.4625899366252544e+17
43,7000,-1229.9670562382892,1,-2.44981945266602e+17,2.029012300899287e+17
43,8000,-1479.8453271835417,1,-2.911510226324685e+17,2.4251795688862515e+17
43,9000,-1471.16574960011,1,-2.729294005408891e+17,2.375228755636388e+17
43,10000,-1592.2168227874156,1,-2.6671226358123725e+17,2.2574353261736755e+17
43,11000,-1567.0536403714968,1,-2.03040283951104e+17,1.675217805865124e+17
43,12000,-1591.3319048539165,1,-2.6212748907197235e+17,2.7998823083147264e+17
43,13000,-1524.7225675833515,1,-2.2829247544845926e+17,2.191019498096558e+17
43,14000,-1289.5700848716874,1,-2.544173184010158e+17,1.8440562344460288e+17
43,15000,-1577.8111301647698,1,-2.0859039530981786e+17,2.066127346687017e+17
43,16000,-1511.3019768438387,1,-2.212222892643451e+17,2.0353382723302195e+17
43,17000,-1655.502750295293,1,-2.1173752400602726e+17,2.6278996200757658e+17
43,18000,-1629.1437318410547,1,-1.8149916753579213e+17,1.930051100438692e+17
43,19000,-1587.4868130796974,1,-2.2073293787050803e+17,2.8541191553286144e+17
43,20000,-1522.4701681937593,1,-2.6082365725999104e+17,2.3284548437960294e+17
43,21000,-1521.4533560887423,1,-2.0387589560834458e+17,1.643386600643625e+17
43,22000,-1536.6380906209756,1,-2.4926674208004506e+17,2.6328884822881075e+17
43,23000,-1536.9316279516097,1,-2.3758389845898035e+17,2.2796339505423974e+17
43,24000,-1059.8983750611128,1,-2.5380361911402496e+17,1.8352214867181568e+17
43,25000,-1594.1013492129305,1,-2.7006211473381786e+17,2.5966204040511488e+17
43,26000,-835.8878862257476,1,-2.4966529786524467e+17,2.5720674504094515e+17
43,27000,-1475.6297130242694,1,-2.492264381069394e+17,2.613166679659643e+17
43,28000,-1464.0798176930516,1,-2.1733079119613133e+17,2.203160511648891e+17
43,29000,-1118.8338934484088,1,-2.630163755035525e+17,2.5259321143066624e+17
43,30000,-653.7334174948908,1,-2.63322297434112e+17,2.6035012852567245e+17
43,31000,-1427.6865553946693,1,-2.742723337351332e+17,2.9871525031470694e+17
43,32000,-1535.7475008608567,1,-2.2033302487564288e+17,2.300889056495534e+17
43,33000,-1596.589481311557,1,-2.3513365397635072e+17,2.4466652286838374e+17
43,34000,-1453.8237456975419,1,-2.0046144814763213e+17,1.9800864386449408e+17
43,35000,-1569.9232492774045,1,-2.6770526002007245e+17,2.8096927008135578e+17
43,36000,-1614.852597165888,1,-2.4598293034460774e+17,2.6164624657639014e+17
43,37000,-1557.7992787323587,1,-3.001375716844503e+17,2.857640341316567e+17
43,38000,-1402.319417050041,1,-2.858048535008379e+17,2.4573550586861978e+17
43,39000,-862.8007689747212,1,-3.035724803693609e+17,3.0953674683449344e+17
43,40000,-1162.6178915332034,1,-2.4624792982677094e+17,2.3243705016962253e+17
43,41000,-956.1499997424811,1,-2.7456849749999616e+17,2.729220819166167e+17
43,42000,-822.1960276044565,1,-2.5184329296091546e+17,2.2817309253749965e+17
43,43000,-719.7853673690676,1,-2.8889135443869696e+17,3.202979420134441e+17
43,44000,-725.0532993266091,1,-2.3847555084949914e+17,2.837424102052987e+17
43,45000,-750.9343919752067,1,-2.8688746013733683e+17,2.8191643062920806e+17
43,46000,-1149.7926920280502,1,-2.5492752615604224e+17,2.617778100146012e+17
43,47000,-1591.903858112824,1,-2.905414465140818e+17,3.0019423089301914e+17
43,48000,-504.7237382656678,1,-2.7241716556129894e+17,2.844683627575378e+17
43,49000,-1494.4803532493477,1,-2.969224966056182e+17,2.985172007827538e+17
43,50000,-1594.690477531803,1,-2.924563490930688e+17,3.0190984698947174e+17
