seed,step,eval_reward,K,critic_loss,actor_loss
43,1000,-1528.3681596076979,3,-1322822.75,4290949.5
43,2000,-1490.4806557584768,3,-2662504.5,3720646.25
43,3000,-1546.5563875124444,3,-2682700.0,3596245.5
43,4000,-1540.9296797309255,3,-3255056.75,1959563.625
43,5000,-1449.852313736741,3,-3687388.5,6112533.0
43,6000,-1329.6427217492158,3,-3161294.75,5060102.0
43,7000,-1158.974487866875,3,-2622327.0,3969610.0
43,8000,-1368.448627861569,3,-3200214.0,4358441.5
43,9000,-1217.3363644339986,3,-3946981.75,5491366.0
43,10000,-1504.1571126003128,3,-2662876.5,3260601.25
43,11000,-1370.3695363292013,3,-4525090.0,3999540.0
43,12000,-1540.1457779310244,3,-4530778.0,6053769.0
43,13000,-1397.3772579485212,3,-3275391.5,4318915.5
43,14000,-766.2244177168762,3,-4030611.5,3725245.25
43,15000,-1546.1736806613158,3,-3460074.25,3834203.5
43,16000,-1034.9389275901553,3,-3253884.25,4139270.25
43,17000,-1031.035206584293,3,-3342581.75,3882431.75
43,18000,-787.4774313688191,3,-2577534.0,3340404.75
43,19000,-854.7607761952297,3,-3260410.5,4085004.0
43,20000,-844.9075269090423,3,-3425156.0,3931296.5
43,21000,-749.9712676654627,3,-1693414.25,2604785.25
43,22000,-527.6207266678362,3,-2383330.5,2352141.0
43,23000,-725.6478329429857,3,-2220619.5,2085161.75
43,24000,-1190.1433394068292,3,-2633063.5,3267924.25
43,25000,-924.3943229847349,3,-3744096.0,2701071.5
43,26000,-944.8355554426853,3,-3983399.0,3623441.75
43,27000,-1190.4249778787078,3,-2884837.75,2225739.5
43,28000,-795.5771659771015,3,-2902177.0,2568493.25
43,29000,-782.1691681265864,3,-1606599.875,1478844.375
43,30000,-943.6897416074462,3,-3455656.25,4062120.0
43,31000,-928.9878117725657,3,-3842353.75,3802116.0
43,32000,-969.291912258271,3,-2663781.5,2715191.25
43,33000,-987.5457539392999,3,-2001419.875,2128697.5
43,34000,-734.1620517590151,3,-2246404.5,2044605.75
43,35000,-716.0419028955283,3,-2987817.5,3686844.5
43,36000,-1026.266893905274,3,-1572550.75,1895341.0
43,37000,-866.8319924399304,3,-2569717.5,2618081.25
43,38000,-1008.275273013074,3,-2804221.75,3157107.0
43,39000,-1049.488905495333,3,-3170361.25,3833692.0
43,40000,-1385.3024886435444,3,-2584747.75,2594054.25
43,41000,-827.5129765749364,3,-2185752.75,2454005.0
43,42000,-964.337172909698,3,-2715060.5,2747336.75
43,43000,-634.4172650306998,3,-2639932.0,2505367.5
43,44000,-995.174862090426,3,-2316832.75,2659733.0
43,45000,-1219.5210178943237,3,-2052731.625,2381839.5
43,46000,-624.7923308269995,3,-2009744.75,2389248.5
43,47000,-958.1705911398919,3,-2615482.25,2883105.0
43,48000,-1153.2160590485803,3,-2616440.25,2826042.25
43,49000,-938.8146285300257,3,-3456874.25,3750627.5
43,50000,-1136.048044284804,3,-2307963.0,2284653.75
