seed,step,eval_reward,K,critic_loss,actor_loss
44,1000,500.0,1,-0.11289092153310776,-0.5451430082321167
44,2000,463.8,1,-0.11434947699308395,-1.116529941558838
44,3000,453.8,1,-0.1105341762304306,-1.59866201877594
44,4000,447.6,1,-0.11542123556137085,-2.0300588607788086
44,5000,500.0,1,-0.11494215577840805,-2.4781150817871094
44,6000,500.0,1,-0.11252059042453766,-2.8849592208862305
44,7000,500.0,1,-0.0746903121471405,-3.28139328956604
44,8000,500.0,1,-0.0612979382276535,-3.633575916290283
44,9000,500.0,1,-0.060608670115470886,-3.939401626586914
44,10000,463.8,1,-0.10709086805582047,-4.282866477966309
44,11000,500.0,1,-0.10734693706035614,-4.612381935119629
44,12000,461.4,1,-0.10763148963451385,-4.828486919403076
44,13000,460.2,1,-0.1106855571269989,-5.07096004486084
44,14000,500.0,1,-0.10880777984857559,-5.448752403259277
44,15000,451.6,1,-0.11047486215829849,-5.714846611022949
44,16000,459.0,1,-0.10489732027053833,-5.905167579650879
44,17000,472.4,1,-0.11087635904550552,-6.196441173553467
44,18000,500.0,1,-0.10782779008150101,-6.277620792388916
44,19000,451.0,1,-0.10937846451997757,-6.521500110626221
44,20000,500.0,1,0.007766831666231155,-6.6267499923706055
