seed,step,eval_reward,K,critic_loss,actor_loss
44,1000,84.6,1,-25.10041046142578,48.3624153137207
44,2000,112.2,1,-43.86177062988281,236.82781982421875
44,3000,47.4,1,-57.23534393310547,671.5173950195312
44,4000,67.6,1,-55.703460693359375,1198.6268310546875
44,5000,60.0,1,-136.66342163085938,1830.7803955078125
44,6000,85.0,1,-160.31431579589844,3014.166748046875
44,7000,61.4,1,-348.7523193359375,3320.23583984375
44,8000,86.0,1,-312.17462158203125,5912.11083984375
44,9000,161.6,1,378.96502685546875,6519.5595703125
44,10000,411.6,1,237.7201385498047,6248.20751953125
44,11000,416.2,1,258.4407958984375,6503.84765625
44,12000,414.6,1,5360.49267578125,8108.31298828125
44,13000,500.0,1,7781.751953125,8201.599609375
44,14000,413.0,1,9219.662109375,9204.173828125
44,15000,417.2,1,-307.485107421875,13413.5966796875
44,16000,413.2,1,626.3822021484375,13492.39453125
44,17000,500.0,1,392.7081298828125,14102.6845703125
44,18000,231.2,1,393.7332763671875,16970.451171875
44,19000,414.0,1,-196.121337890625,12453.61328125
44,20000,329.0,1,1006.5723266601562,18703.28515625
