seed,step,eval_reward,K,critic_loss,actor_loss
43,1000,108.0,3,-37.614532470703125,87.55459594726562
43,2000,100.0,3,-34.204437255859375,270.63275146484375
43,3000,92.2,3,-108.85880279541016,801.57763671875
43,4000,126.4,3,-266.7055969238281,1599.345947265625
43,5000,88.6,3,-107.27130126953125,3465.99609375
43,6000,74.6,3,134.37185668945312,4734.0654296875
43,7000,136.0,3,67.7015380859375,5341.78515625
43,8000,50.0,3,-25.948974609375,6565.78173828125
43,9000,84.4,3,292.50262451171875,11439.029296875
43,10000,49.8,3,-1529.0965576171875,17230.91015625
43,11000,63.2,3,-1815.787841796875,20297.0390625
43,12000,136.0,3,-1931.421875,22373.845703125
43,13000,124.8,3,-988.6552734375,29543.759765625
43,14000,123.6,3,-2045.2388916015625,33201.0234375
43,15000,52.8,3,-1029.488525390625,38463.97265625
43,16000,61.8,3,3194.50634765625,54946.0546875
43,17000,46.4,3,-88.04205322265625,42638.95703125
43,18000,103.0,3,2576.31298828125,44370.609375
43,19000,105.8,3,10458.3837890625,55171.390625
43,20000,93.8,3,5169.208984375,73705.78125
