seed,step,eval_reward,K,critic_loss,actor_loss
42,1000,-1361.882675801567,3,-85213.2421875,135431.4375
42,2000,-787.4083095445222,3,-25095640.0,25042668.0
42,3000,-738.427787553318,3,-16824090.0,17125546.0
42,4000,-1037.4660156705597,3,-18454130.0,20658692.0
42,5000,-886.060100742551,3,-12104529.0,12400508.0
42,6000,-863.0029501416833,3,-15495330.0,17436490.0
42,7000,-816.8461921138307,3,-11603833.0,13381907.0
42,8000,-955.2701483492008,3,-17140370.0,20565574.0
42,9000,-763.7063721839032,3,-15721308.0,20356648.0
42,10000,-727.3796788957917,3,-16169657.0,19717564.0
42,11000,-730.375913091859,3,-12380243.0,14828473.0
42,12000,-749.9675763368447,3,-10742967.0,11008711.0
42,13000,-963.3128039979471,3,-10979710.0,11052064.0
42,14000,-963.6988352740442,3,-13943961.0,13414654.0
42,15000,-660.7137407788271,3,-9198400.0,9304806.0
42,16000,-767.4152563661139,3,-10878141.0,10947365.0
42,17000,-880.4829534462191,3,-5507975.5,5690632.0
42,18000,-694.1369018572499,3,-4798698.5,4693385.0
42,19000,-683.4688818934566,3,-6932368.0,6686322.5
42,20000,-623.6439375085363,3,-6812524.5,7018771.0
42,21000,-572.8066132502523,3,-3422756.25,3135209.75
42,22000,-555.1981382887379,3,-5106095.5,5204406.0
42,23000,-613.4006874982247,3,-7042235.5,7021597.0
42,24000,-594.1955963457904,3,-6777093.5,6424134.0
42,25000,-665.1754149146861,3,-5538884.0,5472813.0
42,26000,-586.3123853308614,3,-8243417.0,8693595.0
42,27000,-629.176372301637,3,-7849495.0,7851664.0
42,28000,-681.7057472867489,3,-9611133.0,9978896.0
42,29000,-610.1622590427362,3,-4870914.5,4764047.5
42,30000,-547.410445775535,3,-2506422.25,2914487.5
42,31000,-582.4784666412047,3,-611070.875,765844.125
42,32000,-569.8039580734121,3,-4387170.5,4631763.0
42,33000,-589.151034287627,3,-8779705.0,9128529.0
42,34000,-603.7672615741084,3,-10300052.0,10924977.0
42,35000,-583.743653920614,3,-5376455.0,5186786.0
42,36000,-548.2686252307417,3,-6680923.5,6916341.0
42,37000,-592.757475994022,3,-6019259.0,6712934.0
42,38000,-618.7162567171042,3,-3564979.25,3702273.0
42,39000,-551.6420299350641,3,-2821075.75,2901675.25
42,40000,-566.8477245114715,3,-1676064.25,1667239.75
42,41000,-626.2830821857748,3,-3250395.5,3336991.25
42,42000,-548.4533489937642,3,-3842773.5,3579638.0
42,43000,-542.9837612123749,3,-3630899.0,3797492.5
42,44000,-520.3419529124668,3,-6088453.0,6710497.0
42,45000,-571.8687027537992,3,-3104255.75,3170110.0
42,46000,-565.9556406048818,3,-2709351.75,2568530.5
42,47000,-564.2452176382524,3,-2767477.75,3024819.0
42,48000,-576.2662119555027,3,-1714466.625,1657502.875
42,49000,-546.118054681461,3,-1437360.0,1226521.625
42,50000,-589.1962612337827,3,-4762204.0,4435916.5
