seed,step,eval_reward,K,critic_loss,actor_loss
44,1000,500.0,15,-0.10394470393657684,-0.533933699131012
44,2000,500.0,15,-0.11364448815584183,-1.056471824645996
44,3000,500.0,15,-0.08831809461116791,-1.5271594524383545
44,4000,500.0,15,-0.10116323828697205,-1.9732357263565063
44,5000,500.0,15,-0.10872776806354523,-2.392772674560547
44,6000,500.0,15,-0.11537636071443558,-2.817138671875
44,7000,500.0,15,-0.03346554562449455,-3.1770248413085938
44,8000,500.0,15,-0.11330210417509079,-3.5457465648651123
44,9000,500.0,15,-0.10612496733665466,-3.879810094833374
44,10000,500.0,15,-0.04431485757231712,-4.227572441101074
44,11000,500.0,15,-0.10929469764232635,-4.535935878753662
44,12000,500.0,15,-0.10516946762800217,-4.846145153045654
44,13000,500.0,15,-0.11811225861310959,-5.113590240478516
44,14000,500.0,15,-0.10696598887443542,-5.400083541870117
44,15000,500.0,15,-0.10968956351280212,-5.661113262176514
44,16000,500.0,15,0.02100268192589283,-5.897696495056152
44,17000,500.0,15,-0.10611996799707413,-6.130161285400391
44,18000,500.0,15,0.04015408456325531,-6.337384223937988
44,19000,500.0,15,0.04458218067884445,-6.530881881713867
44,20000,500.0,15,-0.1102224588394165,-6.764745712280273
