seed,step,eval_reward,K,critic_loss,actor_loss
42,1000,-1578.9005734271482,15,11432.283203125,695.7532958984375
42,2000,-1414.9702977971074,15,1146.1217041015625,1736.8148193359375
42,3000,-1338.8778621390893,15,3104.96875,1358.790771484375
42,4000,-1127.1389578734154,15,2633.67431640625,747.2234497070312
42,5000,-1209.8509825709725,15,2476.21240234375,605.69677734375
42,6000,-1160.4417234014784,15,4210.34716796875,478.7161865234375
42,7000,-1144.5975180538885,15,2479.8330078125,659.1314697265625
42,8000,-1249.3569312890254,15,2393.40185546875,500.57550048828125
42,9000,-1348.1009314828634,15,4341.6953125,566.5669555664062
42,10000,-958.741893341706,15,624.0674438476562,528.1304931640625
42,11000,-883.3393699260348,15,5095.6318359375,405.8569030761719
42,12000,-1413.7385815956106,15,8283.5791015625,459.5697326660156
42,13000,-1111.8029244923996,15,560.0474243164062,408.21282958984375
42,14000,-1461.5781103958395,15,3449.086669921875,237.0513458251953
42,15000,-1434.5826253484172,15,994.2754516601562,210.01913452148438
42,16000,-1431.4981172868906,15,3849.421630859375,388.19427490234375
42,17000,-653.484993235889,15,3364.947998046875,115.82833099365234
42,18000,-959.1414988080842,15,1229.869873046875,232.43405151367188
42,19000,-804.0033477481866,15,6278.37451171875,245.51934814453125
42,20000,-525.0608144300469,15,1227.997314453125,143.0116729736328
42,21000,-1193.4473309100854,15,2816.379150390625,155.27642822265625
42,22000,-746.4576372693002,15,6519.09130859375,115.24925994873047
42,23000,-1007.8193953879484,15,6633.40625,116.35676574707031
42,24000,-1415.5074712168966,15,2834.3037109375,304.6131591796875
42,25000,-1001.1807600736965,15,1273.258544921875,99.92012023925781
42,26000,-1192.3376390990143,15,1119.9560546875,317.08837890625
42,27000,-1181.8287685889063,15,1465.15966796875,86.87601470947266
42,28000,-1082.4809405434132,15,2167.253662109375,53.98948287963867
42,29000,-582.733544456372,15,2887.388427734375,52.392730712890625
42,30000,-900.1209651448055,15,6778.271484375,61.471458435058594
42,31000,-774.4793095201485,15,2603.714599609375,65.27125549316406
42,32000,-951.4021655763224,15,4875.58837890625,9.839872360229492
42,33000,-1226.5429713272526,15,8566.55859375,43.17890930175781
42,34000,-1134.9296025600072,15,2601.24072265625,95.47947692871094
42,35000,-1011.659885672221,15,3207.21875,-9.738115310668945
42,36000,-1000.5697339019647,15,2681.35009765625,53.608741760253906
42,37000,-737.9934682343646,15,4943.166015625,40.80654525756836
42,38000,-1004.8765464406293,15,2794.598876953125,13.930848121643066
42,39000,-910.9687069102516,15,4158.44482421875,55.114105224609375
42,40000,-1227.6044337189994,15,3086.78466796875,37.25675964355469
42,41000,-711.3998494417395,15,3005.701171875,19.928382873535156
42,42000,-1150.4339201339694,15,2741.61962890625,28.398197174072266
42,43000,-979.3191237948164,15,2654.45166015625,74.88269805908203
42,44000,-982.086306849641,15,1497.8216552734375,27.580467224121094
42,45000,-556.5702878241082,15,2163.868408203125,30.216331481933594
42,46000,-1397.3813723177075,15,10200.072265625,32.13615417480469
42,47000,-1189.045543958188,15,3036.80224609375,32.846107482910156
42,48000,-1216.8400125683954,15,2143.68896484375,75.61167907714844
42,49000,-804.5436998136474,15,5893.81640625,72.42341613769531
42,50000,-993.4043098985996,15,5218.32080078125,25.457435607910156
