seed,step,eval_reward,K,critic_loss,actor_loss
43,1000,-1557.9032926209793,3,-270214.9375,65704.2890625
43,2000,-1392.0166820800105,3,-733777.6875,1147572.0
43,3000,-1517.1680209164574,3,-950791.875,1400660.25
43,4000,-1382.435298934896,3,-908365.125,1237145.0
43,5000,-1498.8431126222092,3,-1133669.75,1206298.625
43,6000,-1398.3441573663918,3,-1357198.625,1571830.125
43,7000,-1052.2585634898237,3,-1308725.5,1437546.25
43,8000,-1395.4822483468974,3,-1287374.875,1346257.25
43,9000,-1394.9182540653508,3,-934463.9375,736552.25
43,10000,-1333.2465518372533,3,-1145365.375,1461979.5
43,11000,-1371.367326166454,3,-1604399.0,2338468.25
43,12000,-1277.0087526341601,3,-1219255.25,2082530.75
43,13000,-440.9352907341563,3,-1552667.75,2273141.0
43,14000,-1529.4445084368938,3,-1225101.125,1871233.25
43,15000,-1183.6549293275305,3,-1372037.75,2054528.125
43,16000,-966.8525975408932,3,-1372400.125,2192553.75
43,17000,-1123.9384254864729,3,-961618.8125,1292571.75
43,18000,-1114.3535397206872,3,-1695003.125,2118003.5
43,19000,-990.3502286510927,3,-1124173.375,1414536.75
43,20000,-1164.994139743739,3,-1153133.375,1496580.125
43,21000,-1043.7567663036289,3,-966585.375,1388886.75
43,22000,-1153.5498564626166,3,-1046952.4375,1337474.125
43,23000,-1017.1288158604596,3,-823831.75,1046089.875
43,24000,-837.6763490547376,3,-962877.8125,1303590.25
43,25000,-988.7593073952737,3,-826599.75,1073957.0
43,26000,-1173.1151756356066,3,-1038110.0,1394872.75
43,27000,-972.0220689353915,3,-774006.875,944068.625
43,28000,-995.3463210404385,3,-1098883.25,1255548.0
43,29000,-835.7473165385187,3,-1201345.75,1463168.5
43,30000,-1111.6043422639123,3,-1142832.5,1818989.25
43,31000,-800.1922295749398,3,-1064876.25,1622154.875
43,32000,-1127.4489446369635,3,-1345897.125,1971892.25
43,33000,-1319.572352097211,3,-812614.25,946816.1875
43,34000,-806.677531992646,3,-697783.875,1110059.0
43,35000,-757.3202370011999,3,-952439.9375,1288705.75
43,36000,-945.0968791631083,3,-1196329.75,1419422.125
43,37000,-1330.675647522956,3,-804627.4375,1031592.5
43,38000,-1278.3650741050903,3,-1228188.75,1601695.125
43,39000,-1103.620094107809,3,-792188.8125,1055640.875
43,40000,-520.0116682293582,3,-1049291.875,1348008.5
43,41000,-906.7217100004289,3,-1016607.5,1543789.5
43,42000,-1106.38121954574,3,-986145.5625,1208871.625
43,43000,-712.6927150963246,3,-1170909.375,1474984.0
43,44000,-981.1988282624483,3,-651931.3125,794131.125
43,45000,-910.5741490713315,3,-1082229.625,1061370.5
43,46000,-1131.9106023825727,3,-752876.6875,662626.875
43,47000,-1161.7260086293772,3,-1078928.875,1064677.0
43,48000,-1025.21965195231,3,-1110304.375,1033221.75
43,49000,-617.6102580368768,3,-766700.75,686789.25
43,50000,-756.1845916486919,3,-771991.1875,763238.3125
