seed,step,eval_reward,K,critic_loss,actor_loss
42,1000,-1519.2162348010322,1,-2.1845280845253837e+17,1.618544338004869e+17
42,2000,-1447.5080341605565,1,-3.05137910049407e+17,2.901635581115105e+17
42,3000,-1466.1900625238773,1,-3.064074680223662e+17,3.25983722799104e+17
42,4000,-1500.836341242446,1,-3.121297732099113e+17,3.3654264219828224e+17
42,5000,-1555.6206228324304,1,-3.211520907495342e+17,3.0832147724815565e+17
42,6000,-1597.7580956445868,1,-3.4647473689041306e+17,3.356112184106025e+17
42,7000,-1555.2713015467582,1,-2.0518921070811546e+17,2.3288853713177805e+17
42,8000,-1588.4244978532467,1,-1.957162995595346e+17,2.0209480703043174e+17
42,9000,-1605.777056306134,1,-2.0117973847821517e+17,1.9940639802130432e+17
42,10000,-1601.8905513693542,1,-2.1578395013454234e+17,2.5217034613057126e+17
42,11000,-1549.5680675019855,1,-2.3044456330140058e+17,2.7694172462907392e+17
42,12000,-1580.6869274274536,1,-2.4806167733600256e+17,2.6612254739162726e+17
42,13000,-1591.263879860962,1,-2.0658715384348672e+17,2.4358664783108506e+17
42,14000,-1553.327093843425,1,-2.278036738104361e+17,2.3434138712906138e+17
42,15000,-1584.5098518239993,1,-2.3309349297114317e+17,2.505820328647721e+17
42,16000,-1533.902909412097,1,-2.824866476672942e+17,3.042002671490826e+17
42,17000,-1564.5531842718224,1,-2.7876768702529536e+17,2.676577405019095e+17
42,18000,-1527.6445650264407,1,-2.2424048304232858e+17,2.0974316453206426e+17
42,19000,-1416.0051725344279,1,-2.6473901816650138e+17,2.5248795037217587e+17
42,20000,-1407.122931247991,1,-2.6683992718914355e+17,2.414606046598267e+17
42,21000,-1066.0201181862299,1,-2.262115294338089e+17,2.0716960294843187e+17
42,22000,-1362.8017919393903,1,-2.3706175069487104e+17,2.609895976164393e+17
42,23000,-1551.133292903252,1,-2.080649661906944e+17,1.7767575328915456e+17
42,24000,-1512.6544960515064,1,-2.4911136734314496e+17,2.2532831235905946e+17
42,25000,-1400.9231840638233,1,-2.2885759006539776e+17,2.052785116681339e+17
42,26000,-1162.5427747626102,1,-1.7449778672775987e+17,1.5103888151543808e+17
42,27000,-1348.221376266812,1,-2.0263391132542566e+17,1.8033045539494298e+17
42,28000,-1192.6197541972406,1,-2.184288253551575e+17,1.9606829789924557e+17
42,29000,-1243.3682276703162,1,-1.9903003862709043e+17,1.8054750586221363e+17
42,30000,-1511.165005548477,1,-1.8257000596190003e+17,1.5405044386391654e+17
42,31000,-1066.3401743609152,1,-2.2510229400007475e+17,2.133551976682619e+17
42,32000,-1356.3206295838413,1,-2.4547002535011942e+17,2.4472946990907392e+17
42,33000,-1379.9699699585267,1,-2.0105205769043968e+17,1.766641338721239e+17
42,34000,-1113.891003296763,1,-1.995329105779753e+17,2.039978554996818e+17
42,35000,-1305.869707851083,1,-2.1398358574340506e+17,1.900588655580283e+17
42,36000,-1531.3149153042443,1,-2.2159426779191706e+17,2.104329878194094e+17
42,37000,-1562.7722822026233,1,-1.963862113784955e+17,1.88960075484758e+17
42,38000,-1356.228827345856,1,-2.087817962323968e+17,1.8326611708136653e+17
42,39000,-1186.913437563493,1,-2.0007789038823014e+17,1.7167054719575654e+17
42,40000,-1344.1020852279448,1,-2.1296399486707302e+17,1.9585342927536128e+17
42,41000,-1545.1811847138065,1,-1.7957790840520704e+17,1.7746222469506662e+17
42,42000,-607.8382517421504,1,-2.178197130932388e+17,2.3450450998696346e+17
42,43000,-1010.1784410237481,1,-1.57626794411819e+17,1.503163305772974e+17
42,44000,-1346.4098318790182,1,-2.399761265233756e+17,2.3234288730662502e+17
42,45000,-1194.4238057314974,1,-1.894000003949527e+17,1.8124370288102605e+17
42,46000,-1026.0832273088313,1,-2.180814655801262e+17,1.944971645026304e+17
42,47000,-961.6284932722781,1,-2.0158691855774515e+17,1.8834357587909018e+17
42,48000,-799.588945685365,1,-1.8975753065254093e+17,1.8749985532359475e+17
42,49000,-934.2396771880306,1,-1.6873943817466675e+17,1.67039868076032e+17
42,50000,-916.7734901533279,1,-2.002846157541212e+17,1.89388077565739e+17
