seed,step,eval_reward,K,critic_loss,actor_loss
44,2000,-1647.9182588273245,3,-30.064559936523438,858.541015625
44,4000,-1451.7198522225754,3,315.1695861816406,2224.541015625
44,6000,-1581.2396866164497,3,306.3736572265625,3817.260986328125
44,8000,-1532.9684653964282,3,1255.077880859375,7146.935546875
44,10000,-1519.4100442289084,3,-100.59683227539062,8949.974609375
44,12000,-1520.5341898768695,3,225.4384765625,13934.810546875
44,14000,-1602.6519328164463,3,-397.452392578125,20151.7109375
44,16000,-1639.8251082738734,3,4539.458984375,28622.87890625
44,18000,-1624.274912999444,3,2062.06298828125,32727.71484375
44,20000,-1624.887611061034,3,7780.7109375,41017.0703125
44,22000,-1614.5755073033147,3,29609.00390625,47695.109375
44,24000,-1558.4704696928704,3,19873.88671875,57466.609375
44,26000,-1628.008223800813,3,23014.92578125,61514.984375
44,28000,-1635.2398696540124,3,83225.59375,78645.6875
44,30000,-1636.8832683268104,3,74462.6484375,70667.65625
44,32000,-1617.410202820255,3,517695.375,69286.8671875
44,34000,-1645.874563100287,3,1655717.375,70061.015625
44,36000,-1645.0081938998833,3,9423092.0,58060.98046875
44,38000,-1604.492730731671,3,18452174.0,17533.705078125
44,40000,-1589.7898340943088,3,38793252.0,923.84521484375
44,42000,-1631.1488516908319,3,56546604.0,-47778.11328125
44,44000,-1604.0337666801136,3,1525096960.0,-68912.125
44,46000,-1618.2565914425127,3,613316672.0,-178421.890625
44,48000,-1631.8322637692254,3,508665056.0,-244764.15625
44,50000,-1608.8135648352009,3,5180793344.0,-296509.0
